运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
Q2-010,leg1-cruise,789.7411003853267,803.9626477115796,中断,,122.14052548497386,122.0
Q2-010,leg1-cruise,803.9626477115796,832.4057423640854,中断,,122.67535774301663,122.0
Q2-015,leg1-cruise,804.403151091313,833.4661504373864,中断,,122.15239955992789,122.0
Q2-010,leg1-cruise,832.4057423640854,860.8488370165912,中断,,123.34099946960137,122.0
Q2-015,leg1-cruise,833.4661504373864,862.52914978346,中断,,122.87144159490425,122.0
Q2-010,leg1-descent,860.8488370165912,877.6561441454975,中断,,123.65347814295185,122.0
Q2-015,leg1-descent,862.52914978346,882.973213097262,中断,,123.20627570162381,122.0
Q2-010,leg1-descent,877.6561441454975,894.4634512744037,中断,,123.64955789162984,122.0
Q2-015,leg1-descent,882.973213097262,903.4172764110641,中断,,123.19976070938588,122.0
Q2-010,S010-handoff,894.4634512744037,924.4634512744037,中断,,123.64784784212937,122.0
Q2-015,leg1-descent,903.4172764110641,923.8613397248662,中断,,123.19433714530092,122.0
Q2-015,S007-handoff,923.8613397248662,953.8613397248662,中断,,123.19203596345481,122.0
Q2-010,S010-handoff,924.4634512744037,954.4634512744037,中断,,123.64784784212937,122.0
Q2-015,S007-handoff,953.8613397248662,983.8613397248662,中断,,123.19203596345481,122.0
Q2-010,S010-handoff,954.4634512744037,984.4634512744037,中断,,123.64784784212937,122.0
Q2-015,S007-handoff,983.8613397248662,1013.8613397248662,中断,,123.19203596345481,122.0
Q2-010,S010-handoff,984.4634512744037,1014.4634512744037,中断,,123.64784784212937,122.0
Q2-015,S007-handoff,1013.8613397248662,1043.8613397248662,中断,,123.19203596345481,122.0
Q2-010,S010-handoff,1014.4634512744037,1044.4634512744037,中断,,123.64784784212937,122.0
Q2-015,S007-handoff,1043.8613397248662,1073.8613397248662,中断,,123.19203596345481,122.0
Q2-010,S010-handoff,1044.4634512744037,1074.4634512744037,中断,,123.64784784212937,122.0
Q2-015,S007-handoff,1073.8613397248662,1103.8613397248662,中断,,123.19203596345481,122.0
Q2-010,S010-handoff,1074.4634512744037,1104.4634512744037,中断,,123.64784784212937,122.0
Q2-015,S007-handoff,1103.8613397248662,1133.8613397248662,中断,,123.19203596345481,122.0
Q2-010,leg2-climb,1104.4634512744037,1132.4756298225807,中断,,123.65143473071883,122.0
Q2-010,leg2-cruise,1132.4756298225807,1160.9187244750865,中断,,123.34099946960137,122.0
Q2-015,leg2-climb,1133.8613397248662,1159.4164188671189,中断,,123.19559047651092,122.0
Q2-015,leg2-climb,1159.4164188671189,1184.9714980093713,中断,,123.20454488721722,122.0
Q2-010,leg2-cruise,1160.9187244750865,1189.3618191275923,中断,,122.67535774301663,122.0
Q2-015,leg2-cruise,1184.9714980093713,1214.0344973554447,中断,,122.87144159490425,122.0
Q2-010,leg2-cruise,1189.3618191275923,1203.5833664538452,中断,,122.14052548497386,122.0
Q2-015,leg2-cruise,1214.0344973554447,1243.0974967015181,中断,,122.15239955992789,122.0
Q2-018,leg1-cruise,1404.973893056981,1434.4789665424523,中断,,122.25667777050728,122.0
Q2-018,leg1-cruise,1434.4789665424523,1463.9840400279236,中断,,122.97986272091684,122.0
Q2-018,leg1-cruise,1463.9840400279236,1493.489113513395,中断,,123.64750258971685,122.0
Q2-019,leg1-cruise,1492.5931509762393,1522.0986115082885,中断,,122.29689617710308,122.0
Q2-018,leg1-cruise,1493.489113513395,1522.9941869988663,中断,,124.2675159290611,122.0
Q2-019,leg1-cruise,1522.0986115082885,1551.6040720403378,中断,,123.01394196797582,122.0
Q2-018,leg1-cruise,1522.9941869988663,1552.4992604843376,中断,,124.84624154928318,122.0
Q2-019,leg1-cruise,1551.6040720403378,1581.109532572387,中断,,123.67674339788614,122.0
Q2-018,leg1-cruise,1552.4992604843376,1582.0043339698088,中断,,125.38883232561858,122.0
Q2-019,leg1-cruise,1581.109532572387,1610.614993104436,中断,,124.29287532664772,122.0
Q2-018,leg1-cruise,1582.0043339698088,1611.5094074552803,中断,,125.89953354407685,122.0
Q2-019,leg1-cruise,1610.614993104436,1640.1204536364853,中断,,124.86843920998992,122.0
Q2-018,leg1-cruise,1611.5094074552803,1641.0144809407516,中断,,126.38188414296081,122.0
Q2-019,leg1-cruise,1640.1204536364853,1669.6259141685346,中断,,125.40841977152944,122.0
Q2-018,leg1-cruise,1641.0144809407516,1670.5195544262228,中断,,126.8388651259221,122.0
Q2-019,leg1-descent,1669.6259141685346,1689.0857652427533,中断,,125.66399196278283,122.0
Q2-018,leg1-cruise,1670.5195544262228,1700.024627911694,中断,,127.27301095293518,122.0
Q2-019,leg1-descent,1689.0857652427533,1708.545616316972,中断,,125.65962995058764,122.0
Q2-018,leg1-descent,1700.024627911694,1717.9154787417722,中断,,127.48168482894788,122.0
Q2-019,S015-handoff,1708.545616316972,1738.545616316972,中断,,125.65765946448572,122.0
Q2-018,leg1-descent,1717.9154787417722,1735.8063295718503,中断,,127.48086616195124,122.0
Q2-018,S002-handoff,1735.8063295718503,1765.8063295718503,中断,,127.4805746284193,122.0
Q2-019,S015-handoff,1738.545616316972,1768.545616316972,中断,,125.65765946448572,122.0
Q2-018,S002-handoff,1765.8063295718503,1795.8063295718503,中断,,127.4805746284193,122.0
Q2-019,S015-handoff,1768.545616316972,1798.545616316972,中断,,125.65765946448572,122.0
Q2-018,S002-handoff,1795.8063295718503,1825.8063295718503,中断,,127.4805746284193,122.0
Q2-019,S015-handoff,1798.545616316972,1828.545616316972,中断,,125.65765946448572,122.0
Q2-018,S002-handoff,1825.8063295718503,1855.8063295718503,中断,,127.4805746284193,122.0
Q2-019,S015-handoff,1828.545616316972,1858.545616316972,中断,,125.65765946448572,122.0
Q2-018,S002-handoff,1855.8063295718503,1885.8063295718503,中断,,127.4805746284193,122.0
Q2-019,S015-handoff,1858.545616316972,1888.545616316972,中断,,125.65765946448572,122.0
Q2-018,S002-handoff,1885.8063295718503,1915.8063295718503,中断,,127.4805746284193,122.0
Q2-019,S015-handoff,1888.545616316972,1918.545616316972,中断,,125.65765946448572,122.0
Q2-018,S002-handoff,1915.8063295718503,1945.8063295718503,中断,,127.4805746284193,122.0
Q2-019,leg2-climb,1918.545616316972,1934.762158878821,中断,,125.65962995058764,122.0
Q2-019,leg2-climb,1934.762158878821,1950.97870144067,中断,,125.66399196278283,122.0
Q2-018,leg2-climb,1945.8063295718503,1975.6244142886471,中断,,127.48123623548668,122.0
Q2-019,leg2-cruise,1950.97870144067,1980.4841619727192,中断,,125.40841977152944,122.0
Q2-018,leg2-cruise,1975.6244142886471,2005.1294877741184,中断,,127.27301095293518,122.0
Q2-019,leg2-cruise,1980.4841619727192,2009.9896225047685,中断,,124.86843920998992,122.0
Q2-018,leg2-cruise,2005.1294877741184,2034.6345612595896,中断,,126.8388651259221,122.0
Q2-019,leg2-cruise,2009.9896225047685,2039.4950830368175,中断,,124.29287532664772,122.0
Q2-018,leg2-cruise,2034.6345612595896,2064.139634745061,中断,,126.38188414296081,122.0
Q2-019,leg2-cruise,2039.4950830368175,2069.0005435688668,中断,,123.67674339788614,122.0
Q2-018,leg2-cruise,2064.139634745061,2093.644708230532,中断,,125.89953354407685,122.0
Q2-019,leg2-cruise,2069.0005435688668,2098.506004100916,中断,,123.01394196797582,122.0
Q2-018,leg2-cruise,2093.644708230532,2123.1497817160034,中断,,125.38883232561858,122.0
Q2-019,leg2-cruise,2098.506004100916,2128.0114646329653,中断,,122.29689617710308,122.0
Q2-018,leg2-cruise,2123.1497817160034,2152.654855201475,中断,,124.84624154928318,122.0
Q2-018,leg2-cruise,2152.654855201475,2182.1599286869464,中断,,124.2675159290611,122.0
Q2-018,leg2-cruise,2182.1599286869464,2211.6650021724176,中断,,123.64750258971685,122.0
Q2-018,leg2-cruise,2211.6650021724176,2241.170075657889,中断,,122.97986272091684,122.0
Q2-018,leg2-cruise,2241.170075657889,2270.67514914336,中断,,122.25667777050728,122.0
Q2-016,leg1-cruise,2390.1711245125953,2421.467771120079,中断,,122.02289057552264,122.0
Q2-016,leg1-cruise,2421.467771120079,2450.923438515357,中断,,123.38965350414121,122.0
Q2-016,leg1-cruise,2450.923438515357,2480.379105910635,中断,,124.17875342793518,122.0
Q2-016,leg1-descent,2480.379105910635,2502.280920689281,中断,,124.54684939939493,122.0
Q2-022,leg1-cruise,2492.694086912079,2506.7850168453324,中断,,122.09191805131226,122.0
Q2-016,leg1-descent,2502.280920689281,2524.1827354679267,中断,,124.54502471189024,122.0
Q2-022,leg1-cruise,2506.7850168453324,2534.96687671184,中断,,122.62312091325336,122.0
Q2-016,leg1-descent,2524.1827354679267,2546.0845502465727,中断,,124.54379205636253,122.0
Q2-022,leg1-cruise,2534.96687671184,2563.1487365783473,中断,,123.28482944164,122.0
Q2-016,S005-handoff,2546.0845502465727,2575.539095701118,中断,,124.54339790767136,122.0
Q2-022,leg1-cruise,2563.1487365783473,2591.3305964448546,中断,,123.90009232488552,122.0
Q2-016,S005-handoff,2575.539095701118,2604.9936411556637,中断,,124.54339790767136,122.0
Q2-022,leg1-cruise,2591.3305964448546,2619.512456311362,中断,,124.47495581222768,122.0
Q2-016,S005-handoff,2604.9936411556637,2634.448186610209,中断,,124.54339790767136,122.0
Q2-022,leg1-descent,2619.512456311362,2643.607195080893,中断,,124.74500801352508,122.0
Q2-016,S005-handoff,2634.448186610209,2663.9027320647547,中断,,124.54339790767136,122.0
Q2-022,leg1-descent,2643.607195080893,2667.701933850424,中断,,124.73818018332537,122.0
Q2-016,S005-handoff,2663.9027320647547,2693.3572775193,中断,,124.54339790767136,122.0
Q2-022,leg1-descent,2667.701933850424,2691.7966726199556,中断,,124.73241503097312,122.0
Q2-022,leg1-descent,2691.7966726199556,2715.8914113894866,中断,,124.72771680659866,122.0
Q2-016,S005-handoff,2693.3572775193,2722.811822973845,中断,,124.54339790767136,122.0
Q2-022,S014-handoff,2715.8914113894866,2745.8914113894866,中断,,124.72576890840894,122.0
Q2-016,S005-handoff,2722.811822973845,2752.2663684283907,中断,,124.54339790767136,122.0
Q2-022,S014-handoff,2745.8914113894866,2775.8914113894866,中断,,124.72576890840894,122.0
Q2-016,S005-handoff,2752.2663684283907,2781.720913882936,中断,,124.54339790767136,122.0
Q2-022,S014-handoff,2775.8914113894866,2805.8914113894866,中断,,124.72576890840894,122.0
Q2-016,S005-handoff,2781.720913882936,2811.1754593374817,中断,,124.54339790767136,122.0
Q2-022,S014-handoff,2805.8914113894866,2835.8914113894866,中断,,124.72576890840894,122.0
Q2-016,S005-handoff,2811.1754593374817,2840.630004792027,中断,,124.54339790767136,122.0
Q2-022,S014-handoff,2835.8914113894866,2865.8914113894866,中断,,124.72576890840894,122.0
Q2-016,S005-handoff,2840.630004792027,2870.0845502465727,中断,,124.54339790767136,122.0
Q2-022,S014-handoff,2865.8914113894866,2895.8914113894866,中断,,124.72576890840894,122.0
Q2-016,leg2-climb,2870.0845502465727,2896.366727980948,中断,,124.5440446855257,122.0
Q2-022,S014-handoff,2895.8914113894866,2925.8914113894866,中断,,124.72576890840894,122.0
Q2-016,leg2-climb,2896.366727980948,2922.6489057153226,中断,,124.5463377611981,122.0
Q2-016,leg2-cruise,2922.6489057153226,2952.104573110601,中断,,124.17875342793518,122.0
Q2-022,leg2-climb,2925.8914113894866,2952.6633433556326,中断,,124.72842559469186,122.0
Q2-016,leg2-cruise,2952.104573110601,2981.560240505879,中断,,123.38965350414121,122.0
Q2-022,leg2-climb,2952.6633433556326,2979.435275321778,中断,,124.73516448869171,122.0
Q2-022,leg2-climb,2979.435275321778,3006.207207287924,中断,,124.74379644824026,122.0
Q2-016,leg2-cruise,2981.560240505879,3011.0159079011573,中断,,122.52176572620604,122.0
